origin_airport_id,frequency,relative_frequency
13930,790253,0.04961568006499457
10397,785850,0.0493392396853615
11298,584688,0.03670937376491015
11292,552134,0.03466548547997377
11057,501557,0.031490031225896616
12892,500840,0.03144501470257231
14747,379367,0.023818386895357303
14771,357626,0.022453387964264288
14107,355485,0.022318966239804967
12266,354379,0.022249526526002063
11433,351618,0.02207617837970025
12953,342443,0.021500130120982692
12889,332518,0.020876993448745988
13487,324301,0.020361092790230222
11618,320572,0.020126969198213027
14100,310935,0.019521914476767675
10721,302247,0.018976442294561885
11278,287057,0.018022744959420776
13204,281343,0.017663994032956237
12478,257214,0.016149065593218263
14869,239729,0.015051277712708566
10821,213120,0.013380643585600614
11697,195877,0.012298049566519762
14679,194988,0.012242234100361734
12264,185901,0.011671710882163757
13303,177075,0.011117574431870442
14057,173887,0.010917417282138391
13232,171779,0.01078506744787391
10693,159573,0.010018719213987644
15304,151869,0.009535027030318975
15016,149988,0.009416929289212955
11259,145620,0.009142686368877447
14492,136985,0.008600541767893675
14831,134421,0.008439562178209554
10423,130489,0.00819269332226651
12191,118063,0.007412532487081294
13495,114148,0.00716673096851135
13198,113328,0.007115247636397083
14893,110307,0.006925575506741962
12173,109709,0.006888030345029363
13796,107776,0.006766667807252683
12339,103943,0.006526014621894166
11042,103899,0.0065232521016343765
11193,103360,0.00648941122845195
14122,100854,0.006332073142746642
11066,98562,0.006188170951032131
14908,89454,0.0056163292572556185
14683,83943,0.0052703235947169315
13342,71880,0.004512953551674982
12451,68219,0.004283099309150189
14635,66741,0.004190303742241792
10800,60254,0.0037830203575768555
10529,60244,0.0037823925120632667
10792,58429,0.0036684385513469325
14524,57614,0.0036172691419894603
14730,55082,0.0034582986579488224
13871,54610,0.0034286643497074398
10140,54363,0.003413156565521801
10994,52907,0.003321742258743298
13830,52883,0.0033202354295106856
13244,52872,0.003319544799445738
13931,52673,0.0033070506737253244
14843,51329,0.0032226682366990143
14027,51314,0.0032217264684286312
13851,50613,0.003177714497926069
10713,50161,0.0031493358807118637
14570,45457,0.0028539973511197783
13891,44720,0.0028077251367682973
11884,43800,0.0027499633495181443
11986,42417,0.0026631323149888383
10599,41150,0.0025835842884171607
14307,40679,0.0025540127647271367
15412,39598,0.002486142664708207
10299,39296,0.002467181730197831
15376,38645,0.002426308987263212
11540,38078,0.0023907101466427373
14576,37748,0.002369991244694313
14685,36177,0.0022713567145095414
15370,36149,0.002269598747071493
11423,35555,0.002232304723564329
11995,35401,0.0022226359026550646
15096,34953,0.0021945084236462947
10257,34635,0.0021745429363141766
11996,34476,0.0021645601926481173
11267,34247,0.002150182530386938
12954,32959,0.002069316028236724
13485,31263,0.0019628334291320946
12758,30565,0.001919009812283609
14321,29889,0.0018765674555650186
15919,29713,0.001865517374525859
12992,29369,0.0018439194888584104
12982,28262,0.0017744169905041505
11638,24766,0.0015549221989535698
12945,24577,0.001543055918746745
14193,24320,0.0015269202890475174
12197,24161,0.0015169375453814586
13577,23967,0.0015047573424178393
10785,23700,0.0014879938672050232
12278,23456,0.001472674436673461
14262,23103,0.0014505114900437827
13296,22761,0.001429039173479052
11109,21912,0.0013757350893753785
13230,21832,0.0013707123252666696
10868,21697,0.0013622364108332233
12217,21520,0.0013511235452427046
14783,20958,0.0013158386273790243
11003,20716,0.00130064476595018
14761,20325,0.0012760960063688649
10980,19546,0.0012271868408603116
13158,18864,0.001184367776833568
10431,18666,0.0011719364356645133
